"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://anhart.ca/_next/static/media/TheRyder-320x170.abf6e86b.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","11362","11362","11362","4.353","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.294","Tue, 02 Dec 2025 19:34:55 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/media/TheRyder-320x170.abf6e86b.webp","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/chunks/563a64a66febd6ae.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.232","Tue, 02 Dec 2025 14:36:02 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/chunks/563a64a66febd6ae.js","2025-12-02 11:34:56"
"https://anhart.ca/about","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","About Anhart | Anhart","21","193","Learn about Anhart's mission, values, and team dedicated to creating sustainable affordable housing solutions in British Columbia.","130","806","","0","Our Story","9","Our Journey","11","Our Values","10","","","","","https://anhart.ca/","","","","","","73129","12129","12129","4.646","","416","92","4.522","38.740","Hard","6.135","1","0","","28","14","0","100.000","16","8","0","13","5","0","","","","","c78bfa298f4061a445085c266570201","0.271","","","","","en-CA","1.1","","","","","","https://anhart.ca/about","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/chunks/a6dad97d9634a72d.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.147","Tue, 02 Dec 2025 19:34:55 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/chunks/a6dad97d9634a72d.js","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/chunks/aa5c899632ac7697.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.235","Tue, 02 Dec 2025 14:36:02 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/chunks/aa5c899632ac7697.js","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/chunks/eb99e07a2d762da6.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.225","Tue, 02 Dec 2025 00:15:11 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/chunks/eb99e07a2d762da6.js","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/media/ModularH_1.c78d16f0.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","495301","495301","495301","189.740","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.452","Tue, 02 Dec 2025 19:34:55 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/media/ModularH_1.c78d16f0.png","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/chunks/69b45e78e6dc1eb0.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.228","Tue, 02 Dec 2025 14:36:03 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/chunks/69b45e78e6dc1eb0.js","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/chunks/3215ea2591fc6744.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.234","Tue, 02 Dec 2025 19:10:51 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/chunks/3215ea2591fc6744.js","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/media/AFS_1.6a390bcf.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","1443277","1443277","1443277","552.892","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.409","Tue, 02 Dec 2025 19:34:55 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/media/AFS_1.6a390bcf.png","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/media/162Main.4d73c4ac.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","1477403","1477403","1477403","565.965","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.350","Tue, 02 Dec 2025 19:34:55 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/media/162Main.4d73c4ac.png","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/media/thinkingStatueLaptop-320x180.7e7e81a9.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","7476","7476","7476","2.864","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.310","Tue, 02 Dec 2025 19:34:55 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/media/thinkingStatueLaptop-320x180.7e7e81a9.webp","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/chunks/turbopack-1d9162a6fc1bd536.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.243","Tue, 02 Dec 2025 14:36:02 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/chunks/turbopack-1d9162a6fc1bd536.js","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/media/our-vision.aeebdb38.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","119803","119803","119803","45.894","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.375","Tue, 02 Dec 2025 19:34:55 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/media/our-vision.aeebdb38.jpg","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/media/OurVision.89100ac0.jpeg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","199403","199403","199403","76.388","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.398","Tue, 02 Dec 2025 19:34:56 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/media/OurVision.89100ac0.jpeg","2025-12-02 11:34:56"
"https://anhart.ca/_next/static/chunks/ad1feb7648e334f6.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.241","Tue, 02 Dec 2025 19:34:27 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/chunks/ad1feb7648e334f6.js","2025-12-02 11:34:57"
"https://anhart.ca/_next/static/chunks/d6d683bd4e282893.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.361","Tue, 02 Dec 2025 19:34:56 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/chunks/d6d683bd4e282893.js","2025-12-02 11:34:57"
